ドゥ,よかった！さっきとは違って、変な仕掛けとかもない！,喜んでいるポーズ
ドゥ,(扉から出ると、白い廊下だった。/まるで映画に出てくる研究所みたいだ。),喜んでいるポーズ
ドゥ,誰もいないし……なんだ、この扉の数。/番号も意味がわからないし……。,待機のポーズ02
ドゥ,いやとにかく、犯人を捜してこの状況を問い詰めないと＿＿＿＿。,待機のポーズ02
銃のSE再生、演出,,
ドゥ,……………あ？,撃たれたポーズ02
ドゥ,(大きな音で驚き、体が固まってしまう。/だが早く動けと警告するように、首がジクジクと痛み始めた。),撃たれたポーズ02
ドゥ,(痛むところにそっと触れて手を見ると、/そこには真っ赤な血がべっとりと付いていた。),撃たれたポーズ02
ドゥ,いっ、え……？うう撃たれ……僕……？！,撃たれたポーズ02
ドゥ,(ようやく爆弾の危機から逃れたのに！/ハア…ハア……と迫る死に息が上がってしまう。),撃たれたポーズ02
,『被検体の生命反応を感知、狙撃失敗。』,ポーズなし
ドゥ,(耳に入ってきた自分以外の声に、息が止まる。/混乱する僕を置いて、話は進んでいく。),撃たれたポーズ02
,『被検体、位置移動なし』『第二弾装填、狙撃用意』/『いや待て、被検体の爆弾所持を確認！狙撃止め！』,ポーズなし
,『観測記録室の爆薬移送がまだ未完了だ。もし爆発したら、/俺達も死ぬぞ！慎重に処理しろ！』,ポーズなし
ドゥ,(その声に、手に持っていた爆弾に視線だけ向ける。/そうか、これを持っていれば手を出せないのか……。),撃たれたポーズ02
ドゥ,(そう考えると、僕は勢いよく走り出した。/廊下にある扉を確認していく。),撃たれたポーズ02
,『被検体が移動を開始。追跡します。』,ポーズなし
観測記録室に移動,,
ドゥ,(進んでいくと、1つの部屋に辿り着いた。/モニターがたくさんあるだけで、さっぱりとしている……),ポーズなし
ドゥ,部屋の中に留まっていると危険だ。/早く使えるものがないか探そう。,ポーズなし
,,
記録入手後,,
,「被検体：No.0001の記録」,ポーズなし
,「初期動作正常。/しかし爆弾発見後、極度の緊張状態と恐怖心により/狂乱状態となる。,ポーズなし
,最後は部屋を荒らし嘆き、時間切れで死亡。/これを今後の結果の判断基準とする。」,ポーズなし
,「被検体：No.0002の記録」,ポーズなし
,「被検体：No.0001の細胞を一部再利用。初期動作正常。/被検体：No.0002はナイフ入手後、爆弾解体と開始。/間違った線を切り自爆、間もなく死亡を確認した。」,ポーズなし
,「被検体：No.0003の記録」/「被検体：No.0004の記録」/「被検体：No.0005の記録」,ポーズなし
,………、/………………、/………………………、,ポーズなし
,「被検体：No.0696の記録」,ポーズなし
,「被検体：No.0001から695までの細胞を一部再利用。/初期動作異常を確認。/ロッカーを開ける際に頭痛を訴えた。だが直ぐに回復。,ポーズなし
,ナイフ入手後、爆弾解体を開始。/約30分後に起爆、モニターが破損。/カメラに背を向けていたため詳細不明。,ポーズなし
,回収とリセットのため研究員を3名派遣。/入室直後、被検体：No.0696からの奇襲を受ける。/支離滅裂な言葉を吐きながら、火傷に耐え切れず死亡。,ポーズなし
,以下発言の要約/・これまでの被検体の記憶を保持している/・実験に対する称賛,ポーズなし
,・研究者に対する罵詈雑言と明確な殺意/・実験の進捗状況の確認/記憶の混濁を確認。爆発による影響と考えられる。,ポーズなし
,考察：何らかの衝撃で、再利用した被検体の細胞から記憶が/戻ったとみられる。原因不明。/今後の影響を考え、細胞の再利用を禁止とする。」,ポーズなし
,「被検体：No.0697の記録」/「被検体：No.0698の記録」/「被検体：No.0699の記録」,ポーズなし
,………、/………………、/………………………だれかのメモがある。,ポーズなし
,「この実験が、人類の新しい可能性を導く夜明けとなるだろう。/＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿ナンバードゥの黎明」,ポーズなし
ドゥ？,(ヨコにあるモニターをみて、ボクハ、くびをみた),ポーズなし
,,
アニメーション後,,
アナウンサー,『昨夜、〇△県の山中で大きな爆発がありました。/この影響で辺りは山火事となり、消火活動は/本日の昼過ぎまで行われました。』,ポーズなし
アナウンサー,『警察はその大きさからテロの可能性があるとし、/山全体に規制線を張ったため詳細は不明です。』,ポーズなし
アナウンサー,『警察は「爆弾が残っている可能性も考え、/慎重に調査を続けていく」とし、捜査を続けています。/続いてのニュースです。＿＿＿＿＿＿＿』,ポーズなし
